
--- LR(1) PARSER TABLES (Canonical Closure) ---

State | T0   | T11  | T13  | T14  | T24  | T25  | T26  | T32  | T34  | T35  | T36  | T37  | T38  | T49  | T50  | T51  | T19  | T20  | T21  | T22  | T23  | T7   | T8   | T9   | T10  | T15  | T17  | T43  | T46  | T47  | T48  | T41  | T12  | T1   | T18  | T16  | T42  | T39  | T44  | T33  | T45  | T40  | NT3  | NT4  | NT5  | NT6  | NT27 | NT28 | NT52 | NT54 | NT55 | NT56 | NT57 | NT58 | NT59 | NT60 | NT61 | NT62 | NT63 | NT64 | NT67 | NT29 | NT65 | NT66 | NT30 | NT31 | NT68 | NT69 | NT53 |
60    |      | s72  | s6   | s73  | s8   | s9   | s10  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 123  | 2    | 3    | 4    | 74   | 75   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
61    |      | s49  | s50  | s51  | s52  | s53  | s54  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 124  | 46   | 47   | 48   | 55   | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
62    |      | s49  | s50  | s51  | s52  | s53  | s54  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 125  | 46   | 47   | 48   | 55   | 56   |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
63    |      | s5   | s6   | s7   | s8   | s9   | s10  |      |      |      | s16  |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | 1    | 2    | 3    | 4    | 11   | 12   |      |      |      |      | 126  |      |      |      |      | 31   |      | 33   |      |      |      |      |      |      |      |      |      |
64    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
65    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
66    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
67    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
68    |      |      |      | s127 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      | s128 |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
69    |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |      |
